direction,code,network,links,color,name,physical_mode,headsign,label,equipments,text_color,trip_short_name,commercial_mode,description,links,arrival_date_time,additional_informations,departure_date_time,base_arrival_date_time,base_departure_date_time,data_freshness,delay,is_delayed
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8680,Rennes - Paris Montparnasse Hall 1 &2,[],,8680,TGV INOUI,,[],2023-01-05 06:29:00,[],20230105T063500,2023-01-05 06:29:00,20230105T063500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8790,Paris Montparnasse Hall 1 &2 - Quimper,[],,8790,TGV INOUI,,[],2023-01-05 06:50:00,[],20230105T070000,2023-01-05 06:50:00,20230105T070000,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8080,Rennes - Paris Montparnasse Hall 1 &2,[],,8080,TGV INOUI,,[],2023-01-05 06:54:00,[],20230105T070000,2023-01-05 06:54:00,20230105T070000,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858304,Nantes - Rennes Via Redon,[],,858304,TER,,[],2023-01-05 07:21:00,[],20230105T072100,2023-01-05 07:21:00,20230105T072100,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8702,Paris Montparnasse Hall 1 &2 - Quimper,[],,8702,TGV INOUI,,[],2023-01-05 07:25:00,[],20230105T073500,2023-01-05 07:25:00,20230105T073500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8602,Brest - Paris Montparnasse Hall 1 &2,[],,8602,TGV INOUI,,[],2023-01-05 07:29:00,[],20230105T073500,2023-01-05 07:29:00,20230105T073500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,"[{'internal': True, 'type': 'disruption', 'id': 'd96f80c5-e783-49b6-8f05-32cbce1e37ec', 'rel': 'disruptions', 'templated': False}]",,Le Mans - Laval - Rennes,Train grande vitesse,857653,Le Mans - Laval - Rennes,[],,857653,TER,,[],2023-01-05 07:36:00,[],20230105T073600,2023-01-05 07:31:00,20230105T073100,realtime,0 days 00:05:00,True
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857700,Le Croisic - Nantes - Rennes Via Sablé,[],,857700,TER,,[],2023-01-05 08:01:00,[],20230105T080100,2023-01-05 08:01:00,20230105T080100,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Mans - Laval - Rennes,Train grande vitesse,857691,Le Mans - Laval - Rennes,[],,857691,TER,,[],2023-01-05 08:20:00,[],20230105T082000,2023-01-05 08:20:00,20230105T082000,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858308,Nantes - Rennes Via Redon,[],,858308,TER,,[],2023-01-05 08:21:00,[],20230105T082100,2023-01-05 08:21:00,20230105T082100,base_schedule,0 days 00:00:00,False
Brest (Brest),,OUIGO,"[{'internal': True, 'type': 'disruption', 'id': '8146e2c8-f051-4504-9d63-a123873c0305', 'rel': 'disruptions', 'templated': False}]",,Paris Montparnasse Hall 1 &2 - Brest,Train grande vitesse,7611,Paris Montparnasse Hall 1 &2 - Brest,[],,7611,OUIGO,,[],2023-01-05 08:21:00,[],20230105T082700,2023-01-05 08:16:00,20230105T082200,realtime,0 days 00:05:00,True
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8704,Paris Montparnasse Hall 1 &2 - Quimper,[],,8704,TGV INOUI,,[],2023-01-05 08:25:00,[],20230105T083500,2023-01-05 08:25:00,20230105T083500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8604,Brest - Paris Montparnasse Hall 1 &2,[],,8604,TGV INOUI,,[],2023-01-05 08:29:00,[],20230105T083500,2023-01-05 08:29:00,20230105T083500,base_schedule,0 days 00:00:00,False
